classification_id,user_name,user_id,user_ip,workflow_id,workflow_name,workflow_version,created_at,gold_standard,expert,metadata,annotations,subject_data,subject_ids
702213516,esalazar,2970783,5b49bf893cc0ca0fd08b,31161,Morphology of Edge-on Galaxies,7.18,2026-02-02 10:58:08 UTC,,,"{""source"":""api"",""session"":""5a9767df7f8ffea03f09a1db03a94866092b4ffca0b9d124d2649aeb1591eb70"",""feedback"":{},""revision"":""565d825a8e1451a311c4af960732349a6a5ead39"",""viewport"":{""width"":3424,""height"":1232},""started_at"":""2026-02-02T08:26:01.073Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"",""utc_offset"":""-3600"",""finished_at"":""2026-02-02T10:58:08.232Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_flagged"":false,""classifier_version"":""2.0"",""subject_dimensions"":[{""clientWidth"":1528,""clientHeight"":1146,""naturalWidth"":68,""naturalHeight"":68}],""subject_selection_state"":{""retired"":false,""selected_at"":""2026-02-02T08:26:01.045Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false}}","[{""task"":""T0"",""task_label"":""Is this galaxy\n* Superthin\n* Wtih sombrero round bulge\n* With X shaped bulge\n* Boxy/Peanut Bulge\t?"",""value"":[""Boxy/Peanut Bulge""]}]","{""117260603"":{""retired"":null,""Filename"":""102022484_NEG661966513471180151_gz_arcsinh_vis_y.jpg""}}",117260603
702213549,esalazar,2970783,5b49bf893cc0ca0fd08b,31161,Morphology of Edge-on Galaxies,7.18,2026-02-02 10:58:23 UTC,,,"{""source"":""api"",""session"":""5a9767df7f8ffea03f09a1db03a94866092b4ffca0b9d124d2649aeb1591eb70"",""feedback"":{},""revision"":""565d825a8e1451a311c4af960732349a6a5ead39"",""viewport"":{""width"":3424,""height"":1232},""started_at"":""2026-02-02T10:58:08.239Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"",""utc_offset"":""-3600"",""finished_at"":""2026-02-02T10:58:23.639Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_flagged"":false,""classifier_version"":""2.0"",""subject_dimensions"":[{""clientWidth"":1528,""clientHeight"":1146,""naturalWidth"":150,""naturalHeight"":150}],""subject_selection_state"":{""retired"":false,""selected_at"":""2026-02-02T08:26:01.045Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false}}","[{""task"":""T0"",""task_label"":""Is this galaxy\n* Superthin\n* Wtih sombrero round bulge\n* With X shaped bulge\n* Boxy/Peanut Bulge\t?"",""value"":[""X shaped bulge""]}]","{""117259794"":{""retired"":null,""Filename"":""102044825_NEG531947663275419836_gz_arcsinh_vis_y.jpg""}}",117259794
703548282,not-logged-in-06699ee08fcf02f3b347,,06699ee08fcf02f3b347,31161,Morphology of Edge-on Galaxies,7.46,2026-02-06 18:46:11 UTC,,,"{""source"":""api"",""session"":""b4a0aa6d2dfe5b134a613e98ac75f73bb47f886ea16bf6b916324b70ef912227"",""feedback"":{},""revision"":""837dadc89f75b4600a065b5de18d5ec88a83cb65"",""viewport"":{""width"":360,""height"":701},""started_at"":""2026-02-06T18:45:50.510Z"",""user_agent"":""Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Mobile Safari/537.36"",""utc_offset"":""-3600"",""finished_at"":""2026-02-06T18:46:11.369Z"",""live_project"":false,""user_language"":""en"",""subject_flagged"":false,""classifier_version"":""2.0"",""subject_dimensions"":[{""clientWidth"":272,""clientHeight"":204,""naturalWidth"":75,""naturalHeight"":75}],""subject_selection_state"":{""retired"":false,""selected_at"":""2026-02-06T18:45:50.147Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false}}","[{""task"":""T0"",""task_label"":""Is this galaxy\n* Superthin\n* Wtih sombrero round bulge\n* With X shaped bulge\n* Boxy/Peanut Bulge\t?"",""value"":[""Round bulge""]}]","{""117259962"":{""retired"":null,""Filename"":""102042918_NEG547895501288159423_gz_arcsinh_vis_y.jpg""}}",117259962
703548345,not-logged-in-06699ee08fcf02f3b347,,06699ee08fcf02f3b347,31161,Morphology of Edge-on Galaxies,7.46,2026-02-06 18:46:26 UTC,,,"{""source"":""api"",""session"":""b4a0aa6d2dfe5b134a613e98ac75f73bb47f886ea16bf6b916324b70ef912227"",""feedback"":{},""revision"":""837dadc89f75b4600a065b5de18d5ec88a83cb65"",""viewport"":{""width"":360,""height"":645},""started_at"":""2026-02-06T18:46:11.378Z"",""user_agent"":""Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Mobile Safari/537.36"",""utc_offset"":""-3600"",""finished_at"":""2026-02-06T18:46:26.629Z"",""live_project"":false,""user_language"":""en"",""subject_flagged"":false,""classifier_version"":""2.0"",""subject_dimensions"":[{""clientWidth"":272,""clientHeight"":204,""naturalWidth"":141,""naturalHeight"":141}],""subject_selection_state"":{""retired"":false,""selected_at"":""2026-02-06T18:45:50.147Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false}}","[{""task"":""T0"",""task_label"":""Is this galaxy\n* Superthin\n* Wtih sombrero round bulge\n* With X shaped bulge\n* Boxy/Peanut Bulge\t?"",""value"":[""Superthin""]}]","{""117259643"":{""retired"":null,""Filename"":""102044824_NEG526894322276359395_gz_arcsinh_vis_y.jpg""}}",117259643
703548911,not-logged-in-aec8c096d9b9d1a7f287,,aec8c096d9b9d1a7f287,31161,Morphology of Edge-on Galaxies,7.46,2026-02-06 18:47:45 UTC,,,"{""source"":""api"",""session"":""79083e4c0c8495a48f7c892f0324e5d1b8301f3ec2e95a644ed4d9be4ab1688f"",""feedback"":{},""revision"":""837dadc89f75b4600a065b5de18d5ec88a83cb65"",""viewport"":{""width"":376,""height"":698},""started_at"":""2026-02-06T18:46:28.038Z"",""user_agent"":""Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Mobile Safari/537.36"",""utc_offset"":""-3600"",""finished_at"":""2026-02-06T18:47:46.457Z"",""live_project"":false,""user_language"":""en"",""subject_flagged"":false,""classifier_version"":""2.0"",""subject_dimensions"":[{""clientWidth"":272,""clientHeight"":204,""naturalWidth"":121,""naturalHeight"":121}],""subject_selection_state"":{""retired"":false,""selected_at"":""2026-02-06T18:46:27.525Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false}}","[{""task"":""T0"",""task_label"":""Is this galaxy\n* Superthin\n* Wtih sombrero round bulge\n* With X shaped bulge\n* Boxy/Peanut Bulge\t?"",""value"":[""Superthin""]}]","{""117260473"":{""retired"":null,""Filename"":""102157631_2676658675636375388_gz_arcsinh_vis_y.jpg""}}",117260473
703548998,not-logged-in-aec8c096d9b9d1a7f287,,aec8c096d9b9d1a7f287,31161,Morphology of Edge-on Galaxies,7.46,2026-02-06 18:47:57 UTC,,,"{""source"":""api"",""session"":""79083e4c0c8495a48f7c892f0324e5d1b8301f3ec2e95a644ed4d9be4ab1688f"",""feedback"":{},""revision"":""837dadc89f75b4600a065b5de18d5ec88a83cb65"",""viewport"":{""width"":376,""height"":698},""started_at"":""2026-02-06T18:47:46.495Z"",""user_agent"":""Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Mobile Safari/537.36"",""utc_offset"":""-3600"",""finished_at"":""2026-02-06T18:47:57.725Z"",""live_project"":false,""user_language"":""en"",""subject_flagged"":false,""classifier_version"":""2.0"",""subject_dimensions"":[{""clientWidth"":272,""clientHeight"":204,""naturalWidth"":70,""naturalHeight"":70}],""subject_selection_state"":{""retired"":false,""selected_at"":""2026-02-06T18:46:27.525Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false}}","[{""task"":""T0"",""task_label"":""Is this galaxy\n* Superthin\n* Wtih sombrero round bulge\n* With X shaped bulge\n* Boxy/Peanut Bulge\t?"",""value"":[""Boxy/Peanut Bulge""]}]","{""117259629"":{""retired"":null,""Filename"":""102160055_2648560519677368279_gz_arcsinh_vis_y.jpg""}}",117259629
703595208,not-logged-in-2dc3a2b68b96f57faf10,,2dc3a2b68b96f57faf10,31161,Morphology of Edge-on Galaxies,7.46,2026-02-06 21:44:13 UTC,,,"{""source"":""api"",""session"":""0b530b1c680df9e98960643f12c81b4bde39fa55dfea83434f459a79427bdaac"",""feedback"":{},""revision"":""837dadc89f75b4600a065b5de18d5ec88a83cb65"",""viewport"":{""width"":1853,""height"":966},""started_at"":""2026-02-06T21:43:56.077Z"",""user_agent"":""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"",""utc_offset"":""-3600"",""finished_at"":""2026-02-06T21:44:12.270Z"",""live_project"":false,""user_language"":""en"",""subject_flagged"":false,""classifier_version"":""2.0"",""subject_dimensions"":[{""clientWidth"":1276,""clientHeight"":957,""naturalWidth"":88,""naturalHeight"":87}],""subject_selection_state"":{""retired"":false,""selected_at"":""2026-02-06T21:43:57.021Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false}}","[{""task"":""T0"",""task_label"":""Is this galaxy\n* Superthin\n* Wtih sombrero round bulge\n* With X shaped bulge\n* Boxy/Peanut Bulge\t?"",""value"":[""Boxy/Peanut Bulge""]}]","{""117260288"":{""retired"":null,""Filename"":""102022475_NEG596080664470518935_gz_arcsinh_vis_y.jpg""}}",117260288
703595307,not-logged-in-2dc3a2b68b96f57faf10,,2dc3a2b68b96f57faf10,31161,Morphology of Edge-on Galaxies,7.46,2026-02-06 21:44:50 UTC,,,"{""source"":""api"",""session"":""0b530b1c680df9e98960643f12c81b4bde39fa55dfea83434f459a79427bdaac"",""feedback"":{},""revision"":""837dadc89f75b4600a065b5de18d5ec88a83cb65"",""viewport"":{""width"":1853,""height"":966},""started_at"":""2026-02-06T21:44:12.283Z"",""user_agent"":""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"",""utc_offset"":""-3600"",""finished_at"":""2026-02-06T21:44:49.077Z"",""live_project"":false,""user_language"":""en"",""subject_flagged"":false,""classifier_version"":""2.0"",""subject_dimensions"":[{""clientWidth"":1276,""clientHeight"":957,""naturalWidth"":174,""naturalHeight"":174}],""subject_selection_state"":{""retired"":false,""selected_at"":""2026-02-06T21:43:57.021Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false}}","[{""task"":""T0"",""task_label"":""Is this galaxy\n* Superthin\n* Wtih sombrero round bulge\n* With X shaped bulge\n* Boxy/Peanut Bulge\t?"",""value"":[]}]","{""117259742"":{""retired"":null,""Filename"":""102020534_NEG600193534490848985_gz_arcsinh_vis_y.jpg""}}",117259742
703595364,not-logged-in-2dc3a2b68b96f57faf10,,2dc3a2b68b96f57faf10,31161,Morphology of Edge-on Galaxies,7.46,2026-02-06 21:45:17 UTC,,,"{""source"":""api"",""session"":""0b530b1c680df9e98960643f12c81b4bde39fa55dfea83434f459a79427bdaac"",""feedback"":{},""revision"":""837dadc89f75b4600a065b5de18d5ec88a83cb65"",""viewport"":{""width"":1853,""height"":966},""started_at"":""2026-02-06T21:44:49.303Z"",""user_agent"":""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"",""utc_offset"":""-3600"",""finished_at"":""2026-02-06T21:45:16.638Z"",""live_project"":false,""user_language"":""en"",""subject_flagged"":false,""classifier_version"":""2.0"",""subject_dimensions"":[{""clientWidth"":1276,""clientHeight"":957,""naturalWidth"":102,""naturalHeight"":101}],""subject_selection_state"":{""retired"":false,""selected_at"":""2026-02-06T21:43:57.021Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false}}","[{""task"":""T0"",""task_label"":""Is this galaxy\n* Superthin\n* Wtih sombrero round bulge\n* With X shaped bulge\n* Boxy/Peanut Bulge\t?"",""value"":[""Boxy/Peanut Bulge""]}]","{""117260509"":{""retired"":null,""Filename"":""102158887_2645244812653028271_gz_arcsinh_vis_y.jpg""}}",117260509
703595377,not-logged-in-2dc3a2b68b96f57faf10,,2dc3a2b68b96f57faf10,31161,Morphology of Edge-on Galaxies,7.46,2026-02-06 21:45:23 UTC,,,"{""source"":""api"",""session"":""0b530b1c680df9e98960643f12c81b4bde39fa55dfea83434f459a79427bdaac"",""feedback"":{},""revision"":""837dadc89f75b4600a065b5de18d5ec88a83cb65"",""viewport"":{""width"":1853,""height"":966},""started_at"":""2026-02-06T21:45:16.647Z"",""user_agent"":""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"",""utc_offset"":""-3600"",""finished_at"":""2026-02-06T21:45:21.976Z"",""live_project"":false,""user_language"":""en"",""subject_flagged"":false,""classifier_version"":""2.0"",""subject_dimensions"":[{""clientWidth"":1276,""clientHeight"":957,""naturalWidth"":73,""naturalHeight"":73}],""subject_selection_state"":{""retired"":false,""selected_at"":""2026-02-06T21:43:57.021Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false}}","[{""task"":""T0"",""task_label"":""Is this galaxy\n* Superthin\n* Wtih sombrero round bulge\n* With X shaped bulge\n* Boxy/Peanut Bulge\t?"",""value"":[""X shaped bulge""]}]","{""117259810"":{""retired"":null,""Filename"":""102021499_NEG628844545479700618_gz_arcsinh_vis_y.jpg""}}",117259810
